题目,A,B,答案
“君子之言，信而有征”最早出现在《论语》。( ),A:对,B:不对,B
每月还款时多存入一定金额现金可以保证足额还款，应付出差、利率上调等特殊情况，避免造成不良信用记录。( ),A:对,B:不对,A
有助学贷款的同学，逾期不还且不与高校联系（或虽联系但协商未果）者，其违约信息将进入中国人民银行个人征信系统、教育部大学生学历查询系统等社会征信系统，这样会对违约者以后的工作、生活造成重大影响。( ),A:对,B:不对,A
国家助学贷款信息也属于个人信息基础数据库的征集范围。( ),A:对,B:不对,A
高校助学贷款学生办理贴息延期手续必须是毕业当年考入更高层次学历就读（  ）,A:对,B:不对,A
 韦同学毕业后应征入伍获学费补偿24000元，而他在校期间获得国家助学贷款20000元，因现在家庭生意周转存在困难，向学校提出先还贷款10000元，剩余14000元发给学生用于救急，以后赚钱了个人再还贷款本息。( ),A:对,B:不对,B
各县学生资助管理部门应及时发放户籍为本县的应征入伍服义务兵役毕业生的补偿代偿经费。对于未还清生源地助学贷款的，催促其偿还贷款。( ),A:对,B:不对,B
广西高等学校毕业生学费和国家助学贷款代偿办法中，在县人民政府驻地工作的不享受学费补偿和贷款代偿。( ),A:对,B:不对,A
高校新生入学绿色通道实施对象只是全日制本、专科生，不包含研究生。( ),A:对,B:不对,B
秦同学2015年本科毕业时，不是低保家庭的学生。2015年10月，因突发事件，家庭被列为低保家庭，他能否向原高校提出补发求职补贴申请？( ),A:可以,B:不可以,B
大四学生小陆各方面表现突出，曾两次获得自治区三好学生。他的学习成绩和综合考评成绩达到专业年级排名的前15%。请问，他是否有资格申请国家奖学金？( ),A:是,B:否,B
学校内持续一个学期以上的长期性岗位和寒暑假期间的连续性勤工助学岗位，都属于固定岗位。( ),A:对,B:不对,A
征信是适应现代经济的需要而发展起来的。( ),A:对,B:不对,A
个人信用报告是征信机构出具的记录我过去信用信息的一种文件，它的就像我们的“居民身份证”，因此，人们形象地称它为“经济身份证”。( ),A:对,B:不对,A
助学贷款的起息日为贷款资金划入借款学生助学贷款专用账户之日。(  ),A:对,B:不对,A
首次办理生源地信用助学贷款，借款学生以及共同借款人必须同时到场办理。 ( ),A:对,B:不对,A
生源地信用助学贷款利率执行中国人民银行公布的同期同档次基准利率。贷款利率每年12月21日根据最新基准利率调整一次。( ),A:对,B:不对,A
高校定向生应征入伍服义务兵役不享受国家资助，但纳入全国高等学校招生统一考试、直接招录或选拔补充为部队士官的定向生可享受学费补偿或国家助学贷款代偿。( ),A:对,B:不对,A
对于取消学费和国家助学贷款补偿资格的毕业生，广西学生资助管理办公室应从当年开始停止对其学费的代偿。( ),A:对,B:不对,A
各县学生资助管理部门应及时发放户籍为本县的边远地区基层就业毕业生的补偿款。对于未还清生源地助学贷款的毕业生，由县学生资助管理部门先行扣款还贷，无需通知毕业生，有多余的再发到学生指定帐户。( ),A:对,B:不对,B
对符合条件但因客观原因未能在离校前申领求职补贴的高校毕业生，可于毕业当年12月31日前向原高校提出申请。( ),A:对,B:不对,A
“发展教育脱贫一批”作为脱贫攻坚重要方式之一，提出要让贫困家庭子女都能接受公平有质量的教育，阻断贫困代际传递。( ),A:对,B:不对,A
高等学校勤工助学是学校学生资助工作的重要组成部分，是提高学生综合素质和资助家庭经济困难学生的有效途径。( ),A:对,B:不对,A
小韦同学家庭经济困难，小黄同学学习成绩优秀，学校在安排勤工助学岗位时，应优先小韦同学( ),A:对,B:不对,A
个人信用报告是征信机构出具的记录我过去信用信息的一种文件，它的就像我们的“居民身份证”，因此，人们形象地称它为“经济身份证”。( ),A:对,B:不对,A
最高逾期期数是当前逾期期数的历史最大值。,A:对,B:不对,A
校园地国家助学贷款提前还款没有期限规定。,A:对,B:不对,A
生源地信用助学贷款毕业确认是同学们开始还款的重要步骤。,A:对,B:不对,A
国家开发银行生源地信用助学贷款的回执录入截止时间为申请当年10月10日。10月10日后高校未在助学贷款信息管理系统录入回执的，视同借款学生撤销当年开发银行生源地信用助学贷款申请。,A:对,B:不对,A
国家对获得补偿学费和代偿国家助学贷款本息资格的应征入伍服义务兵役的高校毕业生，在高校毕业生入伍时，应实行分期补偿。,A:对,B:不对,B
高校定向生应征入伍服义务兵役不享受国家资助，但纳入全国高等学校招生统一考试、直接招录或选拔补充为部队士官的定向生可享受学费补偿或国家助学贷款代偿。,A:对,B:不对,A
高校毕业生在校学习期间每年实际缴纳的学费或获得的国家助学贷款本金低于8000元的，按照学费和国家助学贷款本金两者就高的原则，实行补偿或代偿。,A:对,B:不对,A
广西建档立卡贫困户子女考上大学，优先享有新生入学（路费和短期生活费）补助，补助标准为广西区内院校每生500元、广西区外院校每生1000元。,A:对,B:不对,A
国家对每名高校全日制本专毕业生每学年补偿学费或代偿助学贷款本息的金额，最高不超过8000元。,A:对,B:不对,A
大三学生小刘是学校特招的高水平运动员，他连续两年在全运会上获得个人全能第一名的好成绩。他的学习成绩和综合考评成绩达到专业年级排名的前15%。请问，他是否有资格申请国家奖学金？,A:是,B:否,A
法学专业大二学生小张具有良好的运动天赋，他在广西壮族自治区运动会上获得跳远第一名的好成绩。他的学习成绩和综合考评成绩达到专业年级排名的前12%。请问，他是否有资格申请国家奖学金？,A:是,B:否,A
个人信用信息基础数据库需要征得个人同意才能采集个人信息。,A:对,B:不对,B
个人信用信息基础数据库尚未采集国家助学贷款信息。,A:对,B:不对,A
校园地国家助学贷款提前还款没有期限规定。,A:对,B:不对,A
生源地信用助学贷款逾期还款无需在贷款学生在线服务系统内提交申请。,A:对,B:不对,A
生源地信用助学贷款期限原则上按全日制本专科学制加10年确定，最长不超过14年，其中，在校生按剩余学习年限加10年确定。学制超过4年或继续攻读研究生学位、第二学士学位的，相应缩短学生毕业后的还贷期限。学生在校及毕业后两年期间为宽限期，宽限期后由学生和家长(或其他法定监护人)按借款合同约定，按年度分期偿还贷款本息。,A:对,B:不对,A
退役后自愿回校复学的学生，到学校报到后向学校提出学费减免申请，填写并提交《高校学生退役复学学费减免申请表》和退出现役证书复印件。,A:对,B:不对,B
应征入伍的高校在校生退役复学后，可以按规定申请获得学费资助。,A:对,B:不对,B
高校定向生应征入伍服义务兵役不享受国家资助，但纳入全国高等学校招生统一考试、直接招录或选拔补充为部队士官的定向生可享受学费补偿或国家助学贷款代偿。,A:对,B:不对,A
各县学生资助管理部门应及时发放户籍为本县的边远地区基层就业毕业生的补偿款。对于未还清生源地助学贷款的毕业生，由县学生资助管理部门先行扣款还贷，无需通知毕业生，有多余的再发到学生指定帐户。,A:对,B:不对,A
秦同学2015年本科毕业时，不是低保家庭的学生。2015年10月，因突发事件，家庭被列为低保家庭，他能否向原高校提出补发求职补贴申请？,A:可以,B:不可以,B
同一学年内，获得国家奖学金的家庭经济困难学生可以同时申请并获得国家助学金。,A:对,B:不对,A
大三学生小刘是学校特招的高水平运动员，他连续两年在全运会上获得个人全能第一名的好成绩。他的学习成绩和综合考评成绩达到专业年级排名的前15%。请问，他是否有资格申请国家奖学金？,A:是,B:否,A
生源地信用助学贷款学生在线服务系统内进行电话号码、QQ号码、通讯地址等个人信息变更，无需到县学生资助管理机构签订变更单。,A:对,B:不对,A
校园地助学贷款是学生根据个人毕业后的就业和收入情况，在毕业后的1－2年内选择开始偿还本金的时间，六年内还清贷款本息。,A:对,B:不对,B
可以从支付宝网站查询自己生源地信用助学贷款的账户号？,A:对,B:不对,A
退役复学后学费减免金额，按学校实际收取学费金额执行。超出标准部分也给予减免。,A:对,B:不对,A
退役后自愿回校复学的学生，到学校报到后向学校提出学费减免申请，填写并提交《高校学生退役复学学费减免申请表》和退出现役证书复印件。,A:对,B:不对,B
高校定向生应征入伍服义务兵役不享受国家资助，但纳入全国高等学校招生统一考试、直接招录或选拔补充为部队士官的定向生可享受学费补偿或国家助学贷款代偿。,A:对,B:不对,B
宁同学是区外高校毕业生，毕业时自愿到广西边远地区基层就业，读书期间未申请助学贷款，他只需提供学费缴纳发票和身份证、毕业证明，就可以申请学费和国家助学贷款代偿。,A:对,B:不对,A
雨露计划中，获普通高校本科学历教育新生在享受每生一次性补助5000元后，当年不能再享受国家和相关省（自治区、直辖市）教育普惠政策，如国家助学金等。,A:对,B:不对,A
同一学年内，获得国家奖学金的家庭经济困难学生可以同时申请并获得国家励志奖学金。,A:对,B:不对,B
同一学年内，申请自治区政府奖学金的学生可以同时申请并获得国家奖学金。,A:对,B:不对,B
个人在征信活动中有知情权、异议权、纠错权、司法救济权，此外，任何人都有重新开始建立信用记录的机会。,A:对,B:不对,A
没有贷款的人就没有信用报告。,A:对,B:不对,B
征信是适应现代经济的需要而发展起来的。,A:对,B:不对,A
个人信用信息是个人在经济活动中产生的敏感信息，涉及个人隐私，因而不能像公共产品一样无条件共享。,A:对,B:不对,A
校园地信用助学贷款学生可以打电话或委托他人到经办银行查询贷款余额。,A:对,B:不对,B
生源地信用助学贷款学生为孤儿，则其共同借款人可以是自愿与借款学生共同承担还款责任的具备完全民事行为能力的自然人。,A:对,B:不对,A
第一次申请国家开发银行助学贷款的学生需持申请表前往村居会（居委会）或乡镇（街道）民政部门确认贫困身份。,A:对,B:不对,A
专升本、本硕连读学制在校生，在专科或本科学习阶段应征入伍的，以实际学习时间实行学费补偿或国家助学贷款代偿。,A:对,B:不对,A
退役复学后学费减免金额，按学校实际收取学费金额执行。超出标准部分也给予减免。（ ）,A:对,B:不对,B
获学费补偿学生在校期间获得国家助学贷款的，补偿资金必须首先用于偿还国家助学贷款。如补偿金额高于国家助学贷款金额，高出部分退还学校。（  ）,A:对,B:不对,B
直接招收为士官的高校学生国家资助的申请审批程序可以简化，只需高校审核通过即可。,A:对,B:不对,B
高校毕业生在校学习期间每年实际缴纳的学费或获得的国家助学贷款本金低于8000元的，按照学费和国家助学贷款本金两者就高的原则，实行补偿或代偿。（ ）,A:对,B:不对,A
国家奖学金用于奖励高校中特别优秀的学生，家庭经济情况如何并不作为学生申请的必要条件。因此，国家奖学金不属于国家资助体系中的内容。（ ）,A:对,B:不对,B
同一学年内，申请自治区政府奖学金的学生可以同时申请并获得国家奖学金。（ ）,A:对,B:不对,B
查询个人信用报告时，除身份证外，其它所有证件均无效。,A:对,B:不对,B
当个人对自己的信用报告反映的信息持有不同意见时，我到人民银行的征信管理部门提出异议申请，还可以到与自己有业务往来的数据报送机构核实情况和协商解决。,A:对,B:不对,A
校园地助学贷款是学生根据个人毕业后的就业和收入情况，在毕业后的1－2年内选择开始偿还本金的时间，六年内还清贷款本息。,A:对,B:不对,A
全国各地教育行政部门正着手建立国家助学贷款学生个人信息查询系统，负责对学生借款后的跟踪管理，对有违反贷款合同行为的学生今后将给予曝光。,A:对,B:不对,A
借款学生转学时，原所在学校的国家助学贷款本息尚未还清，也可转学。,A:对,B:不对,B
退役复学后学费减免金额，按学校实际收取学费金额执行。超出标准部分也给予减免。,A:对,B:不对,B
退役后自愿回校复学的学生，到学校报到后向学校提出学费减免申请，填写并提交《高校学生退役复学学费减免申请表》和退出现役证书复印件。,A:对,B:不对,A
对于取消学费和国家助学贷款补偿资格的毕业生，广西学生资助管理办公室应从当年开始停止对其学费的代偿。,A:对,B:不对,A
国家对每名高校全日制本专毕业生每学年补偿学费或代偿助学贷款本息的金额，最高不超过8000元。,A:对,B:不对,A
“发展教育脱贫一批”作为脱贫攻坚重要方式之一，提出要让贫困家庭子女都能接受公平有质量的教育，阻断贫困代际传递。,A:对,B:不对,A
同一学年内，获得国家奖学金的家庭经济困难学生可以同时申请并获得国家助学金。,A:对,B:不对,A
法学专业大二学生小张具有良好的运动天赋，他在广西壮族自治区运动会上获得跳远第一名的好成绩。他的学习成绩和综合考评成绩达到专业年级排名的前12%。请问，他是否有资格申请国家奖学金？,A:是,B:否,A
个人信用信息基础数据库需要征得个人同意才能采集个人信息。,A:对,B:不对,B
本人可不经授权，直接查询包括配偶、子女在内的直系亲属的信用报告,A:对,B:不对,B
支付宝账户未通过实名认证，会导致生源地信用助学贷款无法发放。,A:对,B:不对,B
全国各地教育行政部门正着手建立国家助学贷款学生个人信息查询系统，负责对学生借款后的跟踪管理，对有违反贷款合同行为的学生今后将给予曝光。,A:对,B:不对,A
小张没有按时归还助学贷款，并长期拖欠，违约信息多次载入中国人民银行个人征信系统后，会对违约小张未来的工作、生活带来不良影响。,A:对,B:不对,A
获学费补偿学生在校期间获得国家助学贷款的，补偿资金必须首先用于偿还国家助学贷款。如补偿金额高于国家助学贷款金额，高出部分退还学校。,A:对,B:不对,B
我区高校毕业生毕业时自愿到区外中西部地区和艰苦边远地区基层单位工作，服务期在3年以上（含3年），可申请学费和国家助学贷款代偿。,A:对,B:不对,A
区内外高校为毕业生开具的《广西学费和国家助学贷款补偿申请证明》中，只需写明申请学生基本信息、学费缴费情况或国家助学贷款发放情况。,A:对,B:不对,B
在校学习期间获得国家助学贷款并申请边远地区基层就业学费和国家助学贷款补偿的高校毕业生，应与贷款经办银行按正常程序签订还款协议（计划）书，并自行支付贷款本息。,A:对,B:不对,A
“发展教育脱贫一批”作为脱贫攻坚重要方式之一，提出要让贫困家庭子女都能接受公平有质量的教育，阻断贫困代际传递。,A:对,B:不对,A
如果师生对院(系)公示的家庭经济困难学生名单及档次有异议向本院(系)认定工作组提出质疑并得到答复之后仍有异议的，可以再通过有效方式向学校学生资助管理机构提出复议。学校学生资助管理机构应在接到复议提请的3个工作日内予以答复,A:对,B:不对,A
高校于每年11月30日前将国家奖学金一次性发放给获奖学生，颁发国家统一印制的奖励证书，并记入学生学籍档案。,A:对,B:不对,A
偿还欠款后，曾经逾期的记录不会在信用报告中保留。( ),A:对,B:不对,B
我可以把自己的个人身份证件借给别人用，即使别人用我的身份证借了款欠了钱，又不是我本人欠的，所以不会影响我个人的信用。( ),A:对,B:不对,B
生源地信用助学贷款学生为孤儿，则其共同借款人可以是自愿与借款学生共同承担还款责任的具备完全民事行为能力的自然人。( ),A:对,B:不对,A
生源地信用助学贷款利息按年计收。起息日为开发银行贷款发放日，结息日为每年的12月20日（最后一年为9月20日），次日为扣息日，节假日不顺延。( ),A:对,B:不对,A
借款学生转学时，原所在学校的国家助学贷款本息尚未还清，也可转学。( ),A:对,B:不对,B
退役后自愿回校复学的学生，到学校报到后向学校提出学费减免申请，填写并提交《高校学生退役复学学费减免申请表》和退出现役证书原件。(  ),A:对,B:不对,B
对于取消学费和国家助学贷款补偿资格的毕业生，广西学生资助管理办公室应从当年开始停止对其学费的代偿。( ),A:对,B:不对,A
在校学习期间获得国家助学贷款并申请边远地区基层就业学费和国家助学贷款补偿的高校毕业生，应与贷款经办银行按正常程序签订还款协议（计划）书，并自行支付贷款本息。( ),A:对,B:不对,A
秦同学2015年本科毕业时，不是低保家庭的学生。2015年10月，因突发事件，家庭被列为低保家庭，他能否向原高校提出补发求职补贴申请？( ),A:可以,B:不可以,B
广西建档立卡贫困户子女考上大学，优先享有新生入学（路费和短期生活费）补助，补助标准为广西区内院校每生500元、广西区外院校每生1000元。(  ),A:对,B:不对,A
同一学年内，申请自治区政府奖学金的学生不可以同时申请并获得国家助学金。( ),A:对,B:不对,B
某高校后勤部门大幅度减少雇用临时工，调整出适合学生参与的管理和服务岗位，为学生提供更多的勤工助学机会。该高校的这种做法是否符合有关规定？( ),A:是,B:否,A
“君子之言，信而有征”最早出现在《论语》。( ),A:对,B:不对,B
每月还款时多存入一定金额现金可以保证足额还款，应付出差、利率上调等特殊情况，避免造成不良信用记录。( ),A:对,B:不对,A
有助学贷款的同学，逾期不还且不与高校联系（或虽联系但协商未果）者，其违约信息将进入中国人民银行个人征信系统、教育部大学生学历查询系统等社会征信系统，这样会对违约者以后的工作、生活造成重大影响。( ),A:对,B:不对,A
国家助学贷款信息也属于个人信息基础数据库的征集范围。( ),A:对,B:不对,A
 高校助学贷款学生办理贴息延期手续必须是毕业当年考入更高层次学历就读（  ）,A:对,B:不对,A
韦同学毕业后应征入伍获学费补偿24000元，而他在校期间获得国家助学贷款20000元，因现在家庭生意周转存在困难，向学校提出先还贷款10000元，剩余14000元发给学生用于救急，以后赚钱了个人再还贷款本息。( ),A:对,B:不对,B
各县学生资助管理部门应及时发放户籍为本县的应征入伍服义务兵役毕业生的补偿代偿经费。对于未还清生源地助学贷款的，催促其偿还贷款。( ),A:对,B:不对,B
广西高等学校毕业生学费和国家助学贷款代偿办法中，在县人民政府驻地工作的不享受学费补偿和贷款代偿。( ),A:对,B:不对,A
高校新生入学绿色通道实施对象只是全日制本、专科生，不包含研究生。( ),A:对,B:不对,B
秦同学2015年本科毕业时，不是低保家庭的学生。2015年10月，因突发事件，家庭被列为低保家庭，他能否向原高校提出补发求职补贴申请？( ),A:可以,B:不可以,B
大四学生小陆各方面表现突出，曾两次获得自治区三好学生。他的学习成绩和综合考评成绩达到专业年级排名的前15%。请问，他是否有资格申请国家奖学金？( ),A:是,B:否,B
学校内持续一个学期以上的长期性岗位和寒暑假期间的连续性勤工助学岗位，都属于固定岗位。( ),A:对,B:不对,A
查询个人信用报告时，除身份证外，其它所有证件均无效。,A:对,B:不对,B
朋友用我的身份证向银行贷款却不还款，相关信息记在我的信用报告中，我可以向人民银行征信管理部门提出异议申请。,A:对,B:不对,B
助学贷款经办银行或县学生资助管理机构可以未经贷款学生允许，通过新闻媒体等途径公布违约贷款学生姓名、就读学校、学号、违约金额等信息。,A:对,B:不对,A
生源地信用助学贷款学生为孤儿，则其共同借款人可以是自愿与借款学生共同承担还款责任的具备完全民事行为能力的自然人。,A:对,B:不对,A
国家助学贷款信息也属于个人信息基础数据库的征集范围。,A:对,B:不对,A
对于申请我区边远地区基层就业学费和国家助学贷款补偿的材料，可以用毕业生与就业单位签署的劳动合同代替学生本人、就业单位、学校三方签署的到我区基层单位服务3年以上的就业协议。,A:对,B:不对,B
高校毕业生在校学习期间每年实际缴纳的学费或获得的国家助学贷款本金低于8000元的，按照学费和国家助学贷款本金两者就高的原则，实行补偿或代偿。,A:对,B:不对,A
区内外高校为毕业生开具的《广西学费和国家助学贷款补偿申请证明》中，只需写明申请学生基本信息、学费缴费情况或国家助学贷款发放情况。,A:对,B:不对,B
各县学生资助管理部门应及时发放户籍为本县的边远地区基层就业毕业生的补偿款。对于未还清生源地助学贷款的毕业生，由县学生资助管理部门先行扣款还贷，无需通知毕业生，有多余的再发到学生指定帐户。,A:对,B:不对,B
高校新生入学绿色通道实施对象只是全日制本、专科生，不包含研究生。,A:对,B:不对,B
高校勤工助学工作的领导机构是校团委。,A:对,B:不对,B
学校不需要为勤工助学学生建立档案。,A:对,B:不对,B
征信机构必须有专人接受并处理我的异议申请。,A:对,B:不对,A
个人信用报告是征信机构出具的记录我过去信用信息的一种文件，它的就像我们的“居民身份证”，因此，人们形象地称它为“经济身份证”。,A:对,B:不对,A
首次办理生源地信用助学贷款，借款学生以及共同借款人必须同时到场办理。,A:对,B:不对,A
开发银行生源地信用助学贷款的对象是全日制普通本科高校、高等职业学校和高等专科学校（学校名单以教育部公布的为准）的本专科学生、研究生和第二学士学生。,A:对,B:不对,A
生源地信用助学贷款借款学生未按借款合同约定还款，连续拖欠超过一年且不与所在县（市、区）学生资助管理中心主动联系办理有关手续的，任何部门有权在不通知甲方的情况下在新闻媒体和网络等信息渠道上公布借款学生姓名、身份证号码、毕业学校、生源地（县、区）及违约行为等信息，并提供给全国学生资助管理中心等相关机构( ）。,A:对,B:不对,B
如果应征入伍学费补偿或国家助学贷款代偿的经费不足以偿还国家助学贷款的，应征入伍学生无需继续按照还款计划，将剩余部分国家助学贷款偿还经办银行。,A:对,B:不对,B
各县学生资助管理部门应及时发放户籍为本县的应征入伍服义务兵役毕业生的补偿代偿经费。对于未还清生源地助学贷款的，催促其偿还贷款。,A:对,B:不对,B
国家对高校在校应征入伍前在校期间每学年学费补偿或国家助学贷款补偿的金额，按实际缴纳的学费或获得的国家助学贷款金额计算，每人每年最高不超过8000元,A:对,B:不对,B
对于取消学费和国家助学贷款补偿资格的毕业生，广西学生资助管理办公室应从当年开始停止对其学费的代偿。,A:对,B:不对,A
对符合条件但因客观原因未能在离校前申领求职补贴的高校毕业生，可于毕业当年12月31日前向原高校提出申请。,A:对,B:不对,A
小黄同学向认定评议小组递交的认定申请材料中，其《高等学校学生及家庭情况调查表》上只有街道办的公章。请问该证明材料是否有效？,A:是,B:否,B
小曹获得了2015-2016学年国家奖学金。2016年11月初小曹收到一封邮件，内容是告知他11月份将发放国家奖学金，但是由于发放奖学金需要一定的手续费进行身份确认，请将1000元转入指定账户，便于奖学金顺利发放。学生奖学金是由学校通过银行一次性发放到获奖学生个人银行卡，发放不需要进行相应的身份确认并交纳手续费。,A:对,B:不对,A
未按时还款的信息，即逾期记录，只要后来还清了借款，就不会在个人信用信息基础数据库中记录。,A:对,B:不对,B
我可以把自己的个人身份证件借给别人用，即使别人用我的身份证借了款欠了钱，又不是我本人欠的，所以不会影响我个人的信用。,A:对,B:不对,B
生源地信用助学贷款学生为孤儿，则其共同借款人可以是自愿与借款学生共同承担还款责任的具备完全民事行为能力的自然人。,A:对,B:不对,A
李三在福建读大学时办理了国家助学贷款，毕业后李三在北京工作，他未按时还国家助学贷款，也不会影响他在北京商业银行取得个人住房贷款。,A:对,B:不对,B
通过支付宝网站可以知道自己的生源地信用助学贷款的详细情况（ ）,A:对,B:不对,B
高校本专科毕业生在校学习期间每年实际缴纳的学费或获得的国家助学贷款本金低于8000元的，按照学费和国家助学贷款本金两者就低的原则，实行补偿或代偿。,A:对,B:不对,B
高校毕业生在校学习期间每年实际缴纳的学费或获得的国家助学贷款本金低于8000元的，按照学费和国家助学贷款本金两者就高的原则，实行补偿或代偿。,A:对,B:不对,A
各县学生资助管理部门应及时发放户籍为本县的边远地区基层就业毕业生的补偿款。对于未还清生源地助学贷款的毕业生，由县学生资助管理部门先行扣款还贷，无需通知毕业生，有多余的再发到学生指定帐户。,A:对,B:不对,B
对实施整村推进扶贫开发贫困村中因灾、因病、因学等造成返贫的非在册贫困户学生，其申请扶贫培训补助的材料应通过家庭所在村村民委员会和驻村工作队审核，再经乡人民政府或街道办事处核实后报县扶贫部门审批。,A:对,B:不对,A
各高校要建立“精准资助”工作机制，不断提高学生资助“精准度”，做到精准识别“资助对象”，并逐年分批予以资助。,A:对,B:不对,B
小李同学向认定评议小组递交的认定申请材料中，加盖有街道办公章的《高等学校学生及家庭情况调查表》和县级民政府部门开具的低保户证明。请问该证明材料是否有效？,A:是,B:否,A
小韦同学家庭经济困难，小黄同学学习成绩优秀，学校在安排勤工助学岗位时，应优先小黄同学。,A:对,B:不对,B
偿还欠款后，曾经逾期的记录不会在信用报告中保留。,A:对,B:不对,B
张三在甲银行贷不到款，在其它银行肯定也贷不到款。,A:对,B:不对,B
高校在校生当年在高校获得了校园地国家助学贷款的，可以同时申请生源地信用助学贷款。,A:对,B:不对,B
生源地信用助学贷款学生为孤儿，则其共同借款人可以是自愿与借款学生共同承担还款责任的具备完全民事行为能力的自然人。,A:对,B:不对,A
校园地国家助学贷款提前还款没有期限规定。,A:对,B:不对,A
退役后自愿回校复学的学生，到学校报到后向学校提出学费减免申请，填写并提交《高校学生退役复学学费减免申请表》和退出现役证书原件。,A:对,B:不对,B
韦同学毕业后应征入伍获学费补偿24000元，而他在校期间获得国家助学贷款20000元，因现在家庭生意周转存在困难，向学校提出先还贷款10000元，剩余14000元发给学生用于救急，以后赚钱了个人再还贷款本息。,A:对,B:不对,B
