题目,A,B,答案
获学费补偿学生在校期间获得国家助学贷款的，补偿资金必须首先用于偿还国家助学贷款。如补偿金额高于国家助学贷款金额，高出部分退还学校。,A:对,B:不对,B
我区高校毕业生毕业时自愿到区外中西部地区和艰苦边远地区基层单位工作，服务期在3年以上（含3年），可申请学费和国家助学贷款代偿。,A:对,B:不对,A
高校新生入学绿色通道实施对象只是全日制本、专科生，不包含研究生。,A:对,B:不对,B
法学专业大二学生小张具有良好的运动天赋，他在广西壮族自治区运动会上获得跳远第一名的好成绩。他的学习成绩和综合考评成绩达到专业年级排名的前12%。请问，他是否有资格申请国家奖学金？,A:是,B:否,A
学校在寒暑假期间在校内设置的连续性勤工助学岗位，可以根据固定岗位的管理按月计酬。,A:对,B:不对,A
征信机构必须有专人接受并处理我的异议申请。,A:对,B:不对,A
通常情况下，如果我的评分越高，说明按照评分模型，我借款违约的可能性就越小，也就越有可能获得贷款。,A:对,B:不对,A
确实因经济困难而无法在贷款合同期内全部偿还助学贷款本息时，可向经办银行或生源地学生资助管理机构申请展期，此种展期期间的利息由贷款本人支付。,A:对,B:不对,A
助学贷款金额是本专科生每人每年最高不超过8000元，研究生每人每年最高不超过2000元。,A:对,B:不对,A
共同借款人为学生担保人，无需承担第一还款责任。,A:对,B:不对,B
王同学是某成人高校招收的普通本专科学生，则他应征入伍服义务兵役不能享受国家资助。,A:对,B:不对,B
获学费补偿学生在校期间获得国家助学贷款的，补偿资金必须首先用于偿还国家助学贷款。如补偿金额高于国家助学贷款金额，高出部分退还学校。,A:对,B:不对,B
高校定向生应征入伍服义务兵役不享受国家资助，但纳入全国高等学校招生统一考试直接招录或选拔补充为部队士官的定向生可享受学费补偿或国家助学贷款代偿。,A:对,B:不对,A
高校毕业生在校学习期间每年实际缴纳的学费或获得的国家助学贷款本金低于8000元的，按照学费和国家助学贷款本金两者就高的原则，实行补偿或代偿。,A:对,B:不对,A
在校学习期间获得国家助学贷款并申请边远地区基层就业学费和国家助学贷款补偿的高校毕业生，应与贷款经办银行按正常程序签订还款协议（计划）书，并自行支付贷款本息。,A:对,B:不对,A
小黄同学向认定评议小组递交的认定申请材料中，其《高等学校学生及家庭情况调查表》上只有街道办的公章。请问该证明材料是否有效？,A:是,B:否,B
民办高校（含独立学院）招收的符合规定申请条件的普通本专科（含高职第二学士学位）学生，可以申请国家助学金。,A:对,B:不对,A
征信，既不是诚信，也不是信用，而是客观记录人们过去的信用信息并帮助预测未来履约的一种服务。,A:对,B:不对,A
农民没有信用报告。,A:对,B:不对,B
国开行生源地信用助学贷款可通过学生在线服务系统的“贷款及应还款查询”功能了解当年应还贷款本息金额。,A:对,B:不对,A
生源地信用助学贷款从205年开始为了进一步优化还款流程，取消提前还款申请时间的限制。借款人每天均可提交提前还款申请，并在还款日前随时通过第三方支付平台主动还款功能或POS机刷卡还款。,A:对,B:不对,A
生源地信用贷款用途：限于甲方（借款学生）在高校就读期间支付学费住宿费，剩余部分可用于生活费，不得挪用。,A:对,B:不对,A
退役复学后学费减免金额，按学校实际收取学费金额执行。超出标准部分也给予减免。,A:对,B:不对,B
退役后自愿回校复学的学生，到学校报到后向学校提出学费减免申请，填写并提交《高校学生退役复学学费减免申请表》和退出现役证书原件。,A:对,B:不对,B
如果应征入伍学费补偿或国家助学贷款代偿的经费不足以偿还国家助学贷款的，应征入伍学生无需继续按照还款计划，将剩余部分国家助学贷款偿还经办银行。,A:对,B:不对,B
在校学习期间获得国家助学贷款并申请边远地区基层就业学费和国家助学贷款补偿的高校毕业生，应与贷款经办银行按正常程序签订还款协议（计划）书，并自行支付贷款本息。,A:对,B:不对,A
雨露计划中，获普通高校本科学历教育新生在享受每生一次性补助5000元后，当年不能再享受国家和相关省（自治区直辖市）教育普惠政策，如国家助学金等。,A:对,B:不对,B
小周是一名优秀的大一新生。他爱国爱党，遵纪守法，诚实守信，入校成绩优异。他是否具备申请自治区政府奖学金的条件？,A:是,B:否,B
某高校后勤部门大幅度减少雇用临时工，调整出适合学生参与的管理和服务岗位，为学生提供更多的勤工助学机会。该高校的这种做法是否符合有关规定？,A:是,B:否,A
如果本人不方便亲自到人民银行查询本人的信用报告，可以委托他人查询我的信用报告。,A:对,B:不对,A
生源地信用助学贷款学生为孤儿，则其共同借款人可以是自愿与借款学生共同承担还款责任的具备完全民事行为能力的自然人。,A:对,B:不对,A
校园地助学贷款首贷学生前往高校资助中心或院系现场办理申请手续。学生首次申请贷款时，需进行家庭经济困难资格认定。,A:对,B:不对,A
有助学贷款的同学，逾期不还且不与高校联系（或虽联系但协商未果）者，其违约信息将进入中国人民银行个人征信系统教育部大学生学历查询系统等社会征信系统，这样会对违约者以后的工作生活造成重大影响。,A:对,B:不对,A
王同学是某成人高校招收的普通本专科学生，则他应征入伍服义务兵役不能享受国家资助。,A:对,B:不对,B
退役复学后学费减免金额，按学校实际收取学费金额执行。超出标准部分也给予减免。,A:对,B:不对,B
应征入伍的高校在校生退役复学后，可以按规定申请获得学费资助。,A:对,B:不对,A
对符合条件但因客观原因未能在离校前申领求职补贴的高校毕业生，可于毕业当年2月日前向原高校提出申请。,A:对,B:不对,A
广西建档立卡贫困户子女考上大学，优先享有新生入学（路费和短期生活费）补助，补助标准为广西区内院校每生500元广西区外院校每生000元。,A:对,B:不对,A
如果师生对院（系）认定工作组公示的认定结果有异议，且经院（系）工作组对相关质疑进行答复后仍不满意的，可以向学校仲裁委员会提请复议。,A:对,B:不对,B
同一学年内，获得国家奖学金的家庭经济困难学生可以同时申请并获得国家助学金。,A:对,B:不对,A
征信机构必须有专人接受并处理我的异议申请。,A:对,B:不对,A
通常情况下，如果我的评分越高，说明按照评分模型，我借款违约的可能性就越小，也就越有可能获得贷款。,A:对,B:不对,A
确实因经济困难而无法在贷款合同期内全部偿还助学贷款本息时，可向经办银行或生源地学生资助管理机构申请展期，此种展期期间的利息由贷款本人支付。,A:对,B:不对,A
助学贷款金额是本专科生每人每年最高不超过8000元，研究生每人每年最高不超过2000元。,A:对,B:不对,A
共同借款人为学生担保人，无需承担第一还款责任。,A:对,B:不对,B
王同学是某成人高校招收的普通本专科学生，则他应征入伍服义务兵役不能享受国家资助。,A:对,B:不对,B
获学费补偿学生在校期间获得国家助学贷款的，补偿资金必须首先用于偿还国家助学贷款。如补偿金额高于国家助学贷款金额，高出部分退还学校。,A:对,B:不对,B
高校定向生应征入伍服义务兵役不享受国家资助，但纳入全国高等学校招生统一考试直接招录或选拔补充为部队士官的定向生可享受学费补偿或国家助学贷款代偿。,A:对,B:不对,A
高校毕业生在校学习期间每年实际缴纳的学费或获得的国家助学贷款本金低于8000元的，按照学费和国家助学贷款本金两者就高的原则，实行补偿或代偿。,A:对,B:不对,A
在校学习期间获得国家助学贷款并申请边远地区基层就业学费和国家助学贷款补偿的高校毕业生，应与贷款经办银行按正常程序签订还款协议（计划）书，并自行支付贷款本息。,A:对,B:不对,A
小黄同学向认定评议小组递交的认定申请材料中，其《高等学校学生及家庭情况调查表》上只有街道办的公章。请问该证明材料是否有效？,A:是,B:否,B
民办高校（含独立学院）招收的符合规定申请条件的普通本专科（含高职第二学士学位）学生，可以申请国家助学金。,A:对,B:不对,A
征信，既不是诚信，也不是信用，而是客观记录人们过去的信用信息并帮助预测未来履约的一种服务。,A:对,B:不对,A
农民没有信用报告。,A:对,B:不对,B
国开行生源地信用助学贷款可通过学生在线服务系统的“贷款及应还款查询”功能了解当年应还贷款本息金额。,A:对,B:不对,A
生源地信用助学贷款从205年开始为了进一步优化还款流程，取消提前还款申请时间的限制。借款人每天均可提交提前还款申请，并在还款日前随时通过第三方支付平台主动还款功能或POS机刷卡还款。,A:对,B:不对,A
生源地信用贷款用途：限于甲方（借款学生）在高校就读期间支付学费住宿费，剩余部分可用于生活费，不得挪用。,A:对,B:不对,A
退役复学后学费减免金额，按学校实际收取学费金额执行。超出标准部分也给予减免。,A:对,B:不对,B
退役后自愿回校复学的学生，到学校报到后向学校提出学费减免申请，填写并提交《高校学生退役复学学费减免申请表》和退出现役证书原件。,A:对,B:不对,B
如果应征入伍学费补偿或国家助学贷款代偿的经费不足以偿还国家助学贷款的，应征入伍学生无需继续按照还款计划，将剩余部分国家助学贷款偿还经办银行。,A:对,B:不对,B
在校学习期间获得国家助学贷款并申请边远地区基层就业学费和国家助学贷款补偿的高校毕业生，应与贷款经办银行按正常程序签订还款协议（计划）书，并自行支付贷款本息。,A:对,B:不对,A
雨露计划中，获普通高校本科学历教育新生在享受每生一次性补助5000元后，当年不能再享受国家和相关省（自治区直辖市）教育普惠政策，如国家助学金等。,A:对,B:不对,B
小周是一名优秀的大一新生。他爱国爱党，遵纪守法，诚实守信，入校成绩优异。他是否具备申请自治区政府奖学金的条件？,A:是,B:否,B
某高校后勤部门大幅度减少雇用临时工，调整出适合学生参与的管理和服务岗位，为学生提供更多的勤工助学机会。该高校的这种做法是否符合有关规定？,A:是,B:否,A
生源地信用助学贷款利率执行中国人民银行同期公布的同档次基准利率，不上浮。学生在校期间的利息由财政全部补贴，毕业后的利息由学生和家长(或其他法定监护入)共同负担。,A:对,B:不对,A
生源地信用助学贷款期限原则上按全日制本专科学制加10年确定，最长不超过14年，其中，在校生按剩余学习年限加10年确定。学制超过4年或继续攻读研究生学位、第二学士学位的，相应缩短学生毕业后的还贷期限。学生在校及毕业后两年期间为宽限期，宽限期后由学生和家长(或其他法定监护人)按借款合同约定，按年度分期偿还贷款本息。,A:对,B:不对,A
学生在校期间及毕业后两年间为宽限期。宽限期内，借款人需要偿还贷款利息。宽限期后，借款人按年度分期偿还贷款本金和利息，具体还款计划按《国家开发银行股份有限公司生源地信用助学贷款借款合同》（以下简称《借款合同》）约定执行。,A:对,B:不对,A
对于免费师范生，在校期间应征入伍服义务兵役，仍可享受学费补偿。,A:对,B:不对,B
各县学生资助管理部门应及时发放户籍为本县的应征入伍服义务兵役毕业生的补偿代偿经费。对于未还清生源地助学贷款的，催促其偿还贷款。,A:对,B:不对,B
获学费补偿学生在校期间获得国家助学贷款的，补偿资金必须首先用于偿还国家助学贷款。如补偿金额高于国家助学贷款金额，高出部分退还学校。,A:对,B:不对,B
宁同学是区外高校毕业生，毕业时自愿到广西边远地区基层就业，读书期间未申请助学贷款，他只需提供学费缴纳发票和身份证、毕业证明，就可以申请学费和国家助学贷款代偿。,A:对,B:不对,B
秦同学2015年本科毕业时，不是低保家庭的学生。2015年10月，因突发事件，家庭被列为低保家庭，他能否向原高校提出补发求职补贴申请？,A:可以,B:不可以,B
小曹获得了2015-2016学年国家奖学金。2016年11月初小曹收到一封邮件，内容是告知他11月份将发放国家奖学金，但是由于发放奖学金需要一定的手续费进行身份确认，请将1000元转入指定账户，便于奖学金顺利发放。学生奖学金是由学校通过银行一次性发放到获奖学生个人银行卡，发放不需要进行相应的身份确认并交纳手续费。,A:对,B:不对,A
小李是一名家庭经济困难的大一新生。他爱国爱党，遵纪守法，诚实守信，并且入校成绩优异。他是否具备申请自治区政府奖学金的条件？,A:是,B:否,A
农民没有信用报告。,A:对,B:不对,B
最高逾期期数是当前逾期期数的历史最大值。,A:对,B:不对,A
助学贷款经办银行或县学生资助管理机构可以未经贷款学生允许，通过新闻媒体等途径公布违约贷款学生姓名、就读学校、学号、违约金额等信息。,A:对,B:不对,A
生源地信用助学贷款学生为孤儿，则其共同借款人可以是自愿与借款学生共同承担还款责任的具备完全民事行为能力的自然人。,A:对,B:不对,A
通过支付宝网站可以知道自己的生源地信用助学贷款的详细情况（ ）,A:对,B:不对,B
王同学是某成人高校招收的普通本专科学生，则他应征入伍服义务兵役不能享受国家资助。,A:对,B:不对,B
各县学生资助管理部门应及时发放户籍为本县的应征入伍服义务兵役毕业生的补偿代偿经费。对于未还清生源地助学贷款的，催促其偿还贷款。,A:对,B:不对,B
对于取消学费和国家助学贷款补偿资格的毕业生，广西学生资助管理办公室应从当年开始停止对其学费的代偿。,A:对,B:不对,A
外省高校毕业生毕业时自愿到广西边远地区基层就业不能申请学费和国家助学贷款代偿。,A:对,B:不对,B
对符合条件但因客观原因未能在离校前申领求职补贴的高校毕业生，可于毕业当年12月31日前向原高校提出申请。,A:对,B:不对,A
小韦同学家庭经济困难，小黄同学学习成绩优秀，学校在安排勤工助学岗位时，应优先小黄同学,A:对,B:不对,B
学校内持续一个学期以上的长期性岗位和寒暑假期间的连续性勤工助学岗位，都属于固定岗位。,A:对,B:不对,B
负面记录的保存期是从该笔贷款还清之日开始计算，保留一定的期,A:对,B:不对,A
在信用活动中要遵循“口说无凭、立字为据”的原则。,A:对,B:不对,A
学生在校期间及毕业后两年间为宽限期。宽限期内，借款人需要偿还贷款利息。宽限期后，借款人按年度分期偿还贷款本金和利息，具体还款计划按《国家开发银行股份有限公司生源地信用助学贷款借款合同》（以下简称《借款合同》）约定执行。,A:对,B:不对,A
生源地信用助学贷款利息按年计收。起息日为开发银行贷款发放日，结息日为每年的12月20日（最后一年为9月20日），次日为扣息日，节假日不顺延。,A:对,B:不对,A
李三在福建读大学时办理了国家助学贷款，毕业后李三在北京工作，他未按时还国家助学贷款，也不会影响他在北京商业银行取得个人住房贷款。,A:对,B:不对,B
对于免费师范生，在校期间应征入伍服义务兵役，仍可享受学费补偿。,A:对,B:不对,B
外省高校毕业生毕业时自愿到广西边远地区基层就业不能申请学费和国家助学贷款代偿。,A:对,B:不对,B
秦同学2015年本科毕业时，不是低保家庭的学生。2015年10月，因突发事件，家庭被列为低保家庭，他能否向原高校提出补发求职补贴申请？,A:可以,B:不可以,B
对符合条件但因客观原因未能在离校前申领求职补贴的高校毕业生，可于毕业当年12月31日前向原高校提出申请。,A:对,B:不对,A
“发展教育脱贫一批”作为脱贫攻坚重要方式之一，提出要让贫困家庭子女都能接受公平有质量的教育，阻断贫困代际传递。,A:对,B:不对,A
小周是一名优秀的大一新生。他爱国爱党，遵纪守法，诚实守信，入校成绩优异。他是否具备申请自治区政府奖学金的条件？,A:是,B:否,B
高校勤工助学岗位分为固定岗位和不固定岗位。,A:对,B:不对,B
商业银行的所有工作人员均可查询客户的信用报告。,A:对,B:不对,B
本人可不经授权，直接查询包括配偶、子女在内的直系亲属的信用报告。,A:对,B:不对,B
凡是与银行发生信贷关系或者开立了个人结算账户的个人都有自己的信用报告。,A:对,B:不对,A
当个人对自己的信用报告反映的信息持有不同意见时，我到人民银行的征信管理部门提出异议申请，还可以到与自己有业务往来的数据报送机构核实情况和协商解决。,A:对,B:不对,A
生源地信用助学贷款期限原则上按全日制本专科学制加10年确定，最长不超过14年，其中，在校生按剩余学习年限加10年确定。学制超过4年或继续攻读研究生学位、第二学士学位的，相应缩短学生毕业后的还贷期限。学生在校及毕业后两年期间为宽限期，宽限期后由学生和家长(或其他法定监护人)按借款合同约定，按年度分期偿还贷款本息。,A:对,B:不对,A
小明2011年申请生源地信用助学贷款6000元，账户是农行卡；2012年申请生源地信用助学贷款8000元，账户是支付宝。毕业后小明申请了提前还款，钱应该是2011年的贷款存入农行卡账户，2012年的贷款存入支付宝账户。（ ）,A:对,B:不对,B
对于免费师范生，在校期间应征入伍服义务兵役，仍可享受学费补偿。,A:对,B:不对,B
广西高等学校毕业生学费和国家助学贷款代偿办法中，在县人民政府驻地工作的不享受学费补偿和贷款代偿。,A:对,B:不对,A
广西建档立卡贫困户子女考上大学，优先享有新生入学（路费和短期生活费）补助，补助标准为广西区内院校每生500元、广西区外院校每生1000元,A:对,B:不对,A
如果师生对院(系)公示的家庭经济困难学生名单及档次有异议向本院(系)认定工作组提出质疑并得到答复之后仍有异议的，可以再通过有效方式向学校学生资助管理机构提出复议。学校学生资助管理机构应在接到复议提请的3个工作日内予以答复,A:对,B:不对,A
同一学年内，申请自治区人民政府奖学金的学生可以同时申请并获得国家励志奖学金但不能同时申请并获得国家奖学金。,A:对,B:不对,B
报名应征入伍的高校学生必须登录大学生征兵报名系统，按要求在线填写、打印《高校学生应征入伍学费补偿国家助学贷款代偿申请表》。,A:对,B:不对,A
信用报告负面记录会跟随我一辈子。,A:对,B:不对,B
个人在征信活动中有知情权、异议权、纠错权、司法救济权，此外，任何人都有重新开始建立信用记录的机会。,A:对,B:不对,A
校园地国家助学贷款和生源地信用助学贷款还款期限最长均为毕业后10年。,A:对,B:不对,B
校园地国家助学贷款学生复学后，其贷款利息自复学当月1日起开始恢复贴息。,A:对,B:不对,A
生源地信用助学贷款利率执行中国人民银行同期公布的同档次基准利率，不上浮。学生在校期间的利息由财政全部补贴，毕业后的利息由学生和家长(或其他法定监护入)共同负担。,A:对,B:不对,A
对于申请我区边远地区基层就业学费和国家助学贷款补偿的材料，可以用毕业生与就业单位签署的劳动合同代替学生本人、就业单位、学校三方签署的到我区基层单位服务3年以上的就业协议。,A:对,B:不对,B
在校学习期间获得国家助学贷款并申请边远地区基层就业学费和国家助学贷款补偿的高校毕业生，应与贷款经办银行按正常程序签订还款协议（计划）书，并自行支付贷款本息。,A:对,B:不对,A
广西建档立卡贫困户子女考上大学，优先享有新生入学（路费和短期生活费）补助，补助标准为广西区内院校每生500元、广西区外院校每生1000元。,A:对,B:不对,A
院（系）认定工作组审核通过后，要将家庭经济困难学生名单及档次，以适当方式、在适当范围内公示5个工作日。,A:对,B:不对,B
同一学年内，获得国家奖学金的家庭经济困难学生可以同时申请并获得国家励志奖学金。,A:对,B:不对,B
查询个人信用报告时，除身份证外，其它所有证件均无效。,A:对,B:不对,B
朋友用我的身份证向银行贷款却不还款，相关信息记在我的信用报告中，我可以向人民银行征信管理部门提出异议申请。,A:对,B:不对,B
助学贷款经办银行或县学生资助管理机构可以未经贷款学生允许，通过新闻媒体等途径公布违约贷款学生姓名、就读学校、学号、违约金额等信息。,A:对,B:不对,A
生源地信用助学贷款学生为孤儿，则其共同借款人可以是自愿与借款学生共同承担还款责任的具备完全民事行为能力的自然人。,A:对,B:不对,A
国家助学贷款信息也属于个人信息基础数据库的征集范围。,A:对,B:不对,A
高校毕业生在校学习期间每年实际缴纳的学费或获得的国家助学贷款本金低于8000元的，按照学费和国家助学贷款本金两者就高的原则，实行补偿或代偿。,A:对,B:不对,A
各县学生资助管理部门应及时发放户籍为本县的边远地区基层就业毕业生的补偿款。对于未还清生源地助学贷款的毕业生，由县学生资助管理部门先行扣款还贷，无需通知毕业生，有多余的再发到学生指定帐户。,A:对,B:不对,B
高校新生入学绿色通道实施对象只是全日制本、专科生，不包含研究生。,A:对,B:不对,B
高校勤工助学工作的领导机构是校团委。,A:对,B:不对,B
学校不需要为勤工助学学生建立档案。,A:对,B:不对,B
商业银行在考察个人信用状况决定是否贷款时，要同时考虑本人及其配偶的信用状况。,A:对,B:不对,A
负面记录的保存期是从该笔贷款还清之日开始计算，保留一定的期限。,A:对,B:不对,A
对于入学前在户籍所在县（市、区）办理了生源地信用助学贷款的学生，由学校根据学生签字的还款计划，一次性向银行偿还学生生源地信用助学贷款本息，或由学校将代偿资金汇入学生贷款经办地县级学生资助管理机构账户，由县级学生资助管理机构向银行偿还。偿还全部贷款后如有剩余资金，汇至学生指定的地址或账户。,A:对,B:不对,A
个人信用信息基础数据库尚未采集国家助学贷款信息。,A:对,B:不对,B
每月还款时多存入一定金额现金可以保证足额还款，应付出差、利率上调等特殊情况，避免造成不良信用记录。,A:对,B:不对,A
助学贷款学生在规定学制期限内，因个人成绩达不到毕业要求无法按时毕业的，可申请贷款展期。,A:对,B:不对,B
生源地信用助学贷款利率执行中国人民银行公布的同期同档次基准利率。贷款利率每年12月21日根据最新基准利率调整一次。,A:对,B:不对,A
通过支付宝网站可以知道自己的生源地信用助学贷款的详细情况（）,A:对,B:不对,B
高校本专科毕业生在校学习期间每年实际缴纳的学费或获得的国家助学贷款本金低于8000元的，按照学费和国家助学贷款本金两者就低的原则，实行补偿或代偿。,A:对,B:不对,B
宁同学是区外高校毕业生，毕业时自愿到广西边远地区基层就业，读书期间未申请助学贷款，他只需提供学费缴纳发票和身份证、毕业证明，就可以申请学费和国家助学贷款代偿。,A:对,B:不对,B
雨露计划中，获普通高校本科学历教育新生在享受每生一次性补助5000元后，当年不能再享受国家和相关省（自治区、直辖市）教育普惠政策，如国家助学金等。,A:对,B:不对,B
各高校要建立“精准资助”工作机制，不断提高学生资助“精准度”，做到精准识别“资助对象”，并逐年分批予以资助。,A:对,B:不对,B
国家助学金的评定工作坚持公开、公平、公正的原则。,A:对,B:不对,A
大四学生小黄在学术研究上成绩显著，以第一作者发表的2篇论文被SCI全文收录。他的成绩位于专业年级中上水平，学习成绩和综合考评成绩进入专业年级的前20%。请问，他是否有资格申请国家奖学金？,A:是,B:否,A
征信机构必须有专人接受并处理我的异议申请。,A:对,B:不对,A
在信用活动中要遵循“口说无凭、立字为据”的原则。,A:对,B:不对,A
银行可以直接受理助学贷款学生的贷款申请。,A:对,B:不对,B
在生源地信用助学贷款期限的最后一年的12月20日结清所有的贷款，不属于违约。,A:对,B:不对,B
刘某在上学期间欲申请国家助学贷款，贷款未发之前在校外打击斗殴，影响极坏，学校取消了该生贷款申请。,A:对,B:不对,A
专升本、本硕连读学制在校生，在专科或本科学习阶段应征入伍的，以实际学习时间实行学费补偿或国家助学贷款代偿。,A:对,B:不对,A
直接招收为士官的高校学生国家资助的申请审批程序可以简化，只需高校审核通过即可。,A:对,B:不对,B
外省高校毕业生毕业时自愿到广西边远地区基层就业不能申请学费和国家助学贷款代偿。,A:对,B:不对,B
对符合条件但因客观原因未能在离校前申领求职补贴的高校毕业生，可于毕业次年3月30日前向原高校提出申请，高校可组织与现年度应届毕业生一同申报求职补贴。,A:对,B:不对,B
对符合条件但因客观原因未能在离校前申领求职补贴的高校毕业生，可于毕业当年12月31日前向原高校提出申请。,A:对,B:不对,A
在分配国家奖学金名额，对办学水平较高的高校予以适当倾斜，是符合政策规定的。,A:对,B:不对,A
高等学校勤工助学活动的宗旨是“立足校园，服务社会”。,A:对,B:不对,A
负面信息是指我在过去的信用交易中未能按时足额偿还贷款、支付各种费用的信息，即违约信息。,A:对,B:不对,A
国家助学贷款信息也属个人信用信息基础数据库的征集范围。,A:对,B:不对,A
校园地国家助学贷款的应届毕业生考入研究生（或专升本）逾期没有办理展期，毕业后第二年办理展期的学生，其毕业当年7月1日至12月20日之间的利息由学生本人支付，财政不再补贴。,A:对,B:不对,A
助学贷款借款学生办理休学时，自办理休学手续的当日起停止贴息，休学期间自付利息及罚息。当休学的借款学生复学后，恢复贴息起始日为办理复学手续当日。,A:对,B:不对,B
生源地信用助学贷款利息按年计收。起息日为开发银行贷款发放日，结息日为每年的12月20日（最后一年为9月20日），次日为扣息日，节假日不顺延。,A:对,B:不对,A
如果应征入伍学费补偿或国家助学贷款代偿的经费不足以偿还国家助学贷款的，应征入伍学生无需继续按照还款计划，将剩余部分国家助学贷款偿还经办银行。,A:对,B:不对,B
各县学生资助管理部门应及时发放户籍为本县的应征入伍服义务兵役毕业生的补偿代偿经费。对于未还清生源地助学贷款的，催促其偿还贷款。,A:对,B:不对,B
我区高校毕业生毕业时自愿到区外中西部地区和艰苦边远地区基层单位工作，服务期在3年以上（含3年），可申请学费和国家助学贷款代偿。,A:对,B:不对,A
区内外高校为毕业生开具的《广西学费和国家助学贷款补偿申请证明》中，只需写明申请学生基本信息、学费缴费情况或国家助学贷款发放情况。,A:对,B:不对,B
国家对每名高校全日制本专毕业生每学年补偿学费或代偿助学贷款本息的金额，最高不超过8000元。,A:对,B:不对,A
国家奖学金用于奖励高校中特别优秀的学生，家庭经济情况如何并不作为学生申请的必要条件。因此，国家奖学金不属于国家资助体系中的内容。,A:对,B:不对,B
钢琴专业大四学生小周曾在意大利罗马国际手风琴比赛中获得演奏家组第三名。她的学习成绩和综合考评成绩达到专业年级排名的前25%。请问，学校是否能推荐她参评国家奖学金？,A:是,B:否,A
